Engine,Query,Overlap %,Precision@10,MAP,NDCG@10,Spearman Rho,Jaccard
Bing,Some important facts on the respiratory system,5.555555555555555,0.1,0.027777777777777776,0.15246657145929848,-0.6195106906564047,0.05555555555555555
Bing,You want to text dirty with your boyfriend what should you say,0.0,0.0,0.0,0.0,-0.8328326937493676,0.0
Bing,Can you give me example of anecdotes by the filipino writers,5.555555555555555,0.1,0.027777777777777776,0.15246657145929848,-0.6195106906564047,0.05555555555555555
Bing,How do you figure sq ft for a house,0.0,0.0,0.0,0.0,-0.7071067811865475,0.0
Bing,What city is the iffel tower,12.5,0.2,0.25,0.4344508158334163,-0.4016024558472366,0.125
Bing,Hw big are sperm whales up to dinosaurs,0.0,0.0,0.0,0.0,-0.8459012667136341,0.0
Bing,What is not part of a biology,13.333333333333334,0.2,0.19047619047619047,0.4973848031108687,-0.2761389565265047,0.13333333333333333
Bing,What is the radio code for a 2005 renault clio sport 182 cup,0.0,0.0,0.0,0.0,-0.5,0.0
Bing,How many troops are in a modern marine battalion,0.0,0.0,0.0,0.0,-0.8535576060794188,0.0
Bing,More defines for respect,6.25,0.1,0.017857142857142856,0.11717660552278264,-0.748753116344687,0.0625
Bing,Why your deserts so hot,9.090909090909092,0.1,0.16666666666666666,0.38009376671593426,-0.0943879807448539,0.09090909090909091
Bing,Are the decomposer that live in the ocean,0.0,0.0,0.0,0.0,-0.8453639444116163,0.0
Bing,Site where vladimir lenin is kept,0.0,0.0,0.0,0.0,-0.7794334265900188,0.0
Bing,Codes to get weapons in poptropica,0.0,0.0,0.0,0.0,-0.8328326937493676,0.0
Bing,How many grammys does alicia keys have now,15.384615384615385,0.2,0.4,0.5481864195602553,-0.15118578920369088,0.15384615384615385
Bing,What level does pineco evovle at,21.428571428571427,0.3,0.34523809523809523,0.5280658441447014,-0.14476493566647541,0.21428571428571427
Bing,How many toes does an ostrich have,0.0,0.0,0.0,0.0,-0.8583690987124465,0.0
Bing,How does an iphone compare to a blackberry,0.0,0.0,0.0,0.0,-0.5,0.0
Bing,How did darius reorganize and improve the persian government,0.0,0.0,0.0,0.0,-0.8459012667136341,0.0
Bing,What are lyrics of the star spangled banner,30.0,0.3,0.42063492063492064,0.5539767737459819,0.23115669303779424,0.3
Bing,What do the uniting church believe about the bible,0.0,0.0,0.0,0.0,-0.8328326937493676,0.0
Bing,Number of babies a polar bear can have,0.0,0.0,0.0,0.0,-0.8573609935745664,0.0
Bing,What is 4th Earl of Sandwich,13.333333333333334,0.2,0.2857142857142857,0.464160599089668,-0.2998080099430622,0.13333333333333333
Bing,What do mediaval princesses wear,0.0,0.0,0.0,0.0,-0.8535576060794188,0.0
Bing,What did Medea give Jason to prtect him self,0.0,0.0,0.0,0.0,-0.8459012667136341,0.0
Bing,How many miles are in africa,21.428571428571427,0.3,0.15476190476190474,0.3421651077852859,-0.46989274199937925,0.21428571428571427
Bing,What did queen latifah influence,13.333333333333334,0.2,0.14285714285714285,0.3357698493155786,-0.3491185378942238,0.13333333333333333
Bing,What is a natuaral fathers rights,0.0,0.0,0.0,0.0,-0.8119622530770386,0.0
Bing,What is excluded from OSHA,6.25,0.1,0.015873015873015872,0.03848222703672965,-0.8419312819342479,0.0625
Bing,How did your universe form,0.0,0.0,0.0,0.0,-0.5,0.0
Bing,5 pillars of faith are like,0.0,0.0,0.0,0.0,-0.6461987757371918,0.0
Bing,What is ryan sheckler worth,0.0,0.0,0.0,0.0,-0.8573609935745664,0.0
Bing,Where is the river murrays source,0.0,0.0,0.0,0.0,-0.8328326937493676,0.0
Bing,Who is the leader of azerbaijan,0.0,0.0,0.0,0.0,-0.8583690987124465,0.0
Bing,How many calories in one hot dog with bun,0.0,0.0,0.0,0.0,-0.8119622530770386,0.0
Bing,Where hydroelectic energy id from,0.0,0.0,0.0,0.0,-0.8119622530770386,0.0
Bing,How many voyages did christopher columbus make,0.0,0.0,0.0,0.0,-0.8119622530770386,0.0
Bing,What is vanessa hudgens background,0.0,0.0,0.0,0.0,-0.8535576060794188,0.0
Bing,What languages are spoken the united kingdom,0.0,0.0,0.0,0.0,-0.8535576060794188,0.0
Bing,How many movies did Julie Andrews play in,0.0,0.0,0.0,0.0,-0.8119622530770386,0.0
Bing,Something in a bathroom with a J,0.0,0.0,0.0,0.0,-0.8119622530770386,0.0
Bing,What can nuclear energy be converted to,0.0,0.0,0.0,0.0,-0.8573609935745664,0.0
Bing,Is WWE freaking fake,0.0,0.0,0.0,0.0,-0.8119622530770386,0.0
Bing,How do you build a bridge out of popsical sticks,0.0,0.0,0.0,0.0,-0.8119622530770386,0.0
Bing,The language of origin of the word karate,0.0,0.0,0.0,0.0,-0.7794334265900188,0.0
Bing,The advantagous of being a doctor,0.0,0.0,0.0,0.0,-0.8574153649023353,0.0
Bing,What are the typical daily temperature swings on mars,0.0,0.0,0.0,0.0,-0.8328326937493676,0.0
Bing,What is the most feared gang diablos or bloodz or crips,0.0,0.0,0.0,0.0,-0.5,0.0
Bing,What is amy dumas full name,0.0,0.0,0.0,0.0,-0.8573609935745664,0.0
Bing,Where can you get a groudon in soul silver,0.0,0.0,0.0,0.0,-0.7794334265900188,0.0
Bing,What are the properties of C45 Steel,0.0,0.0,0.0,0.0,-0.8459012667136341,0.0
Bing,Which president pardoned Ricard Nixon,0.0,0.0,0.0,0.0,-0.7794334265900188,0.0
Bing,Boethius wrote or music of the university,0.0,0.0,0.0,0.0,-0.8328326937493676,0.0
Bing,How many grams is in a cup of whole wheat pasta,13.333333333333334,0.2,0.2857142857142857,0.5242917728724183,-0.2564147453460401,0.13333333333333333
Bing,A list of the most famous baseball players,0.0,0.0,0.0,0.0,-0.8573609935745664,0.0
Bing,The good side of corporal punishment,0.0,0.0,0.0,0.0,-0.8459012667136341,0.0
Bing,What country do oats grow in,0.0,0.0,0.0,0.0,-0.8535576060794188,0.0
Bing,How much does modified dirt track car cost,0.0,0.0,0.0,0.0,-0.8328326937493676,0.0
Bing,What is the punishment for vandalsim in texas,0.0,0.0,0.0,0.0,-0.8459012667136341,0.0
Bing,What city does shane dawson live,0.0,0.0,0.0,0.0,-0.8459012667136341,0.0
Bing,What will happen if you overdose on aspirin,0.0,0.0,0.0,0.0,-0.8459012667136341,0.0
Bing,How many calories in a cup if fresh strawberries,0.0,0.0,0.0,0.0,-0.8573609935745664,0.0
Bing,Which sport is eminem 's favorite,0.0,0.0,0.0,0.0,-0.8573609935745664,0.0
Bing,What is the principle component of air,0.0,0.0,0.0,0.0,-0.8328326937493676,0.0
Bing,What is th relative location of Germany,0.0,0.0,0.0,0.0,-0.8573609935745664,0.0
Bing,How do you feel a boob without henr noticing,0.0,0.0,0.0,0.0,-0.5,0.0
Bing,What city dose demi lovato live in,0.0,0.0,0.0,0.0,-0.8535576060794188,0.0
Bing,What is hte climate in denmark,0.0,0.0,0.0,0.0,-0.8328326937493676,0.0
Bing,What is strong emotion,0.0,0.0,0.0,0.0,-0.8459012667136341,0.0
Bing,How does basketball related to science,0.0,0.0,0.0,0.0,-0.8328326937493676,0.0
Bing,What was the colossus of rhodes a statue of,0.0,0.0,0.0,0.0,-0.8119622530770386,0.0
